modell,shape,arm,ziel,rec_jsd,rec_cov,laenge,E_erg,cov_solver,rel_fehler,abs_fehler,nutzen_pro_weg
laenge,rand_gmm_10,kraft,11.0,0.11760290856326487,0.051488716155290604,10.8298978805542,7.709906578063965,0.06032289192080498,-0.015463829040527344,0.015463829040527344,0.0031727955966460216
laenge,rand_gmm_10,kond+kraft,11.0,0.11706421658483492,0.05079314485192299,10.815509796142578,7.754730224609375,0.0596921406686306,-0.01677183671431104,0.01677183671431104,0.004753729890677774
laenge,rand_gmm_10,kond,14.0,0.11817086175439094,0.052243392914533615,10.389946937561035,7.834517002105713,0.06088995188474655,-0.2578609330313546,0.2578609330313546,-0.011626193951915683
laenge,rand_gmm_10,kraft,14.0,0.1257552853394787,0.05165990814566612,12.606069564819336,8.202425003051758,0.061719365417957306,-0.09956645965576172,0.09956645965576172,-0.003209921613355678
laenge,rand_gmm_10,kond+kraft,14.0,0.1249264774115003,0.05077044293284416,12.583958625793457,8.219071388244629,0.06080316752195358,-0.10114581244332455,0.10114581244332455,-0.002855473665795314
laenge,rand_gmm_10,kond,18.0,0.11808761521027848,0.05222287029027939,10.3882474899292,7.829202651977539,0.06086757779121399,-0.42287513944837785,0.42287513944837785,-0.012727584505435497
laenge,rand_gmm_10,kraft,18.0,0.13164738847681415,0.052050575613975525,13.805591583251953,8.551715850830078,0.0627799779176712,-0.23302268981933594,0.23302268981933594,-0.0038176340166483132
laenge,rand_gmm_10,kond+kraft,18.0,0.13081954232419116,0.0514250285923481,13.77010440826416,8.54539680480957,0.06222378462553024,-0.23499419954087997,0.23499419954087997,-0.003609353409956581
laenge,rand_gmm_20,frei,nan,0.10486691805061257,0.05442396551370621,9.563861846923828,2.754154682159424,0.06175442039966583,nan,nan,nan
laenge,rand_gmm_20,kond,4.0,0.10246844961029712,0.05366983637213707,9.609224319458008,2.6691555976867676,0.060791902244091034,1.402306079864502,1.402306079864502,0.052873406283316125
laenge,rand_gmm_20,kraft,4.0,0.12748519146292692,0.06765678524971008,4.1455230712890625,4.7772746086120605,0.07137976586818695,0.036380767822265625,0.036380767822265625,0.00417439262270281
laenge,rand_gmm_20,kond+kraft,4.0,0.12587411324571704,0.06760820746421814,4.146758556365967,4.641404151916504,0.07122194766998291,0.0366896390914917,0.0366896390914917,0.00387793882972852
laenge,rand_gmm_20,kond,6.0,0.1012332390167191,0.05317492038011551,9.62106704711914,2.675225019454956,0.060568325221538544,0.6035111745198567,0.6035111745198567,0.06352008246605564
laenge,rand_gmm_20,kraft,6.0,0.12425668399981671,0.06063999980688095,6.093635559082031,3.9625020027160645,0.06555373966693878,0.015605926513671875,0.015605926513671875,0.005587464430529405
laenge,rand_gmm_20,kond+kraft,6.0,0.12388037613997219,0.06054452806711197,6.093613147735596,3.9867217540740967,0.06547637283802032,0.015602191289265877,0.015602191289265877,0.005478990048698031
laenge,rand_gmm_20,kond,8.0,0.10319860472782608,0.053893931210041046,9.578818321228027,2.749525785446167,0.061246223747730255,0.19735229015350342,0.19735229015350342,0.11154455848716276
laenge,rand_gmm_20,kraft,8.0,0.11775253876103793,0.0575159527361393,8.091756820678711,3.201741933822632,0.06379137933254242,0.011469602584838867,0.011469602584838867,0.008753193882703176
laenge,rand_gmm_20,kond+kraft,8.0,0.11660484498577475,0.057183198630809784,8.092178344726562,3.209378719329834,0.06352372467517853,0.011522293090820312,0.011522293090820312,0.007975850050392709
