shape,ziel,u,laenge_frei,laenge_kraft,laenge_kond,relf_kraft,relf_kond,E_erg_frei,E_erg_kraft,E_erg_kond,cov_frei,cov_kraft,cov_kond
cjk_10,8.0,-0.721,6.49,7.87,6.624,-0.0163,-0.1721,3.2727,2.8593,3.0797,0.03759,0.03472,0.03757
cjk_10,11.0,-0.009,6.49,9.927,6.509,-0.0975,-0.4083,3.2727,2.6592,3.4226,0.03759,0.03576,0.03806
cjk_10,14.0,0.543,6.49,10.988,6.515,-0.2151,-0.5347,3.2727,2.6546,3.1797,0.03759,0.03706,0.03728
cjk_10,18.0,1.128,6.49,11.432,6.337,-0.3649,-0.6479,3.2727,2.5465,3.2367,0.03759,0.03845,0.03757
cjk_20,4.0,-2.176,6.833,4.07,7.365,0.0176,0.8413,1.1707,1.4958,1.2042,0.04272,0.04476,0.03891
cjk_20,6.0,-1.343,6.833,6.01,6.875,0.0017,0.1458,1.1707,1.1164,1.2486,0.04272,0.04175,0.0434
cjk_20,8.0,-0.721,6.833,7.886,6.887,-0.0143,-0.1391,1.1707,1.2635,1.3147,0.04272,0.04209,0.04231
cjk_20,11.0,-0.009,6.833,9.962,6.732,-0.0944,-0.388,1.1707,1.5541,1.0167,0.04272,0.0461,0.04111
cjk_20,14.0,0.543,6.833,11.028,7.28,-0.2123,-0.48,1.1707,1.7304,1.3603,0.04272,0.0477,0.04367
cjk_20,18.0,1.128,6.833,11.47,7.217,-0.3628,-0.599,1.1707,1.8108,1.1763,0.04272,0.04835,0.04178
