phi_model,param,svgd_iters,seed,n_exec,J,q,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,time_s
niveau,0.3133,50,0,7,0.27188607789530256,0.12324864592035756,0.03424643635749817,0.12324864592035756,0.04217671722173691,0.13484047390520573,3485.548330078125,9.838859481811523,2.159357993736242
niveau,0.6653,0,0,6,0.27190003500369103,0.1451924289232931,0.03979354575276375,0.1451924289232931,0.08138769686222076,0.13660125158727168,3499.755439453125,8.453014106750489,1.6769015200994908
eid,10.0,25,0,7,0.27191488627021904,0.12363225808960468,0.03471809700131416,0.12363225808960468,0.07331667341291905,0.1463874711096287,3086.713798828125,9.826042785644532,2.070657045153591
niveau,0.724,100,1,6,0.27196224730437096,0.14304418929410573,0.03935479767620564,0.14304418929410573,0.0484744081646204,0.13894339948892592,3509.4296484375,8.418125762939454,2.2295145025663077
niveau,0.9,200,1,6,0.272049465994484,0.14003781682208477,0.03834306478500366,0.14003781682208477,0.05185356870293617,0.12042764194309712,3600.60046875,8.410301818847657,3.0029122930997985
mass,0.65,100,0,5,0.2723378029645562,0.16487209046721937,0.0460756466537714,0.16487209046721937,0.07234688442200422,0.1761321806907654,3082.328798828125,7.027596607208252,1.8664281243341974
mass,0.53,100,0,6,0.2724585959475064,0.14348754383848467,0.040098220705986024,0.14348754383848467,0.05404662612825632,0.16236633121967314,3117.002548828125,8.431386032104491,2.2427630272554233
niveau,0.7827,0,1,6,0.27284690067121126,0.14616891030320267,0.04036221325397491,0.14616891030320267,0.06341141577810049,0.1359049304574728,3507.819716796875,8.449555473327637,1.669497592002153
niveau,0.724,400,0,5,0.27295993131387664,0.1575550044063571,0.043567638099193576,0.1575550044063571,0.06618199855089188,0.16445243999361991,3222.946240234375,7.018588218688965,3.8512317268798753
niveau,0.4893,25,1,6,0.27334698558502374,0.14629834081136167,0.04052064850926399,0.14629834081136167,0.06075684044510126,0.15541785381734372,3348.0087890625,8.438271293640137,1.7621611934155226
niveau,0.724,200,1,6,0.27335728753157373,0.14130726319062,0.039093337506055835,0.14130726319062,0.06392911031842231,0.13733040660619736,3553.385283203125,8.421546440124512,3.0125060852384196
niveau,0.6653,200,1,6,0.27339405293506924,0.14133674714436179,0.03876823507249355,0.14133674714436179,0.056519476994872093,0.13162671647965907,3498.981044921875,8.428249931335449,3.014326447676867
mass,0.59,100,0,6,0.2735420894997378,0.14458355636203638,0.040302609577775005,0.14458355636203638,0.057404633536934854,0.16998764395713806,3132.18951171875,8.424364624023438,2.239633284425363
ucb,0.4597,50,0,6,0.27355640223699507,0.14605428081518856,0.040119865834712984,0.14605428081518856,0.05325079955160618,0.15210381463170053,3258.605390625,8.44270824432373,1.8755303554516285
ucb,0.2626,0,0,6,0.2735705599574286,0.14751318950963277,0.04093243561685085,0.14751318950963277,0.05419083122164011,0.1815984608978033,3218.6060546875,8.457930641174316,1.5143426119489596
ucb,1.864,100,0,6,0.27357834879185094,0.14461540466045056,0.039927620515227316,0.14461540466045056,0.05788282558321953,0.13012055061757566,3507.523671875,8.42881160736084,2.240736032850109
niveau,0.4893,0,0,6,0.27395124145282385,0.14729128242975054,0.04031593501567841,0.14729128242975054,0.05838734351098537,0.14844274438917637,3528.47451171875,8.456414108276368,1.664989755768329
niveau,0.724,0,0,6,0.2739667616341484,0.1472317587930744,0.04041959837079048,0.1472317587930744,0.06572275098413229,0.13792315900325774,3520.702802734375,8.44845458984375,1.683750710268505
niveau,0.6653,100,1,6,0.2743006159705501,0.1453757519507613,0.03949268788099289,0.1453757519507613,0.0548047361522913,0.1447658871859312,3472.8137109375,8.429121589660644,2.2312160049472003
ucb,0.8047,25,1,5,0.27430104401435756,0.16858205742919563,0.046583506017923354,0.16858205742919563,0.06142295882105828,0.16150603249669074,3260.350888671875,7.035930500030518,1.4297466462904895
niveau,0.372,0,0,6,0.27432869397992676,0.14767240119608527,0.040781638845801355,0.14767240119608527,0.06379319451749325,0.15584022492170335,3430.63380859375,8.460393676757812,1.6640731959603727
niveau,0.9,50,1,6,0.27438696322138667,0.14697793148190963,0.0404230073094368,0.14697793148190963,0.06669435501098633,0.1383918436616659,3539.983251953125,8.426481285095214,1.8522579348692672
ucb,0.8047,25,0,5,0.2745498721255696,0.1686566214088436,0.04626268684864044,0.1686566214088436,0.07661415461450816,0.16828113794326782,3131.585546875,7.039254112243652,1.4733126791814963
niveau,0.372,200,0,7,0.27455793020831465,0.12033856402173684,0.03329821951687336,0.12033856402173684,0.05888155426830053,0.13091025337576867,3432.835029296875,9.82402042388916,3.5548415466444574
niveau,0.2547,50,1,7,0.27462534713267245,0.1260138863182616,0.034655515179038046,0.1260138863182616,0.05199696008116007,0.13418757490813732,3509.14931640625,9.833110694885255,2.1528652036027047
eid,0.4597,100,0,7,0.27467345865416254,0.1242056461911422,0.035414446890354154,0.1242056461911422,0.04996343545615673,0.17383796319365502,2858.860869140625,9.81633415222168,2.6169531157550714
niveau,0.7827,100,1,6,0.27467521551205915,0.14576486028011096,0.03977120630443096,0.14576486028011096,0.055160092748701574,0.13228326320648193,3584.324296875,8.422701683044433,2.227588807987049
niveau,0.548,200,0,7,0.2747624193544531,0.12058613432088251,0.03359282851219177,0.12058613432088251,0.05904793970286846,0.13710128664970397,3538.1155078125,9.82016716003418,3.544071258392651
ucb,0.8047,100,0,6,0.27488956338895504,0.1459179663972186,0.040355876088142395,0.1459179663972186,0.06752337098121643,0.15292505234479903,3349.860419921875,8.430229721069336,2.2428992479341106
niveau,0.6067,0,1,6,0.2748946357972676,0.14818645583122395,0.04061190478503704,0.14818645583122395,0.06814296320080757,0.15021054558455943,3487.16412109375,8.447915725708008,1.6770449915109202
ucb,0.1985,25,0,6,0.2749668906715358,0.1478526307611758,0.0415836026519537,0.1478526307611758,0.07136444684118032,0.17280738413333893,3088.905517578125,8.441680412292481,1.7785649775899948
ucb,0.3474,100,0,7,0.27501736585644077,0.12454917330268463,0.03471775740385055,0.12454917330268463,0.048031211234629154,0.13779840841889382,3300.658232421875,9.836384811401366,2.6170481384390345
eid,3.2631,50,0,6,0.27503091965108645,0.1476558005427336,0.041700970754027365,0.1476558005427336,0.06635931029915809,0.16840425238013268,2806.20271484375,8.424053993225098,1.8437797770882025
eid,2.4662,50,1,7,0.2751434171585294,0.12644310567839592,0.03568415768444538,0.12644310567839592,0.06793495995923876,0.16533155456185342,3075.32138671875,9.828282051086425,2.175077870033371
niveau,0.9,100,1,7,0.27515535133781216,0.12477858244287157,0.03436128623783588,0.12477858244287157,0.05777082938700914,0.10667140431702136,3680.9411328125,9.82311107635498,2.594192223735154
ucb,0.6082,50,0,7,0.2755902046501013,0.1268373671326163,0.035062091574072834,0.1268373671326163,0.05135416189208627,0.141875921189785,3435.71083984375,9.849070816040038,2.1882093793712563
mass,0.77,0,0,6,0.2755939400061303,0.14902548043305888,0.041061926037073135,0.14902548043305888,0.04732218869030476,0.13184983253479005,3513.250380859375,8.462819480895996,1.6421148932678624
ucb,0.6082,0,0,6,0.2756465422752587,0.149238225654093,0.04079510003328323,0.149238225654093,0.06990629747509956,0.1659816800057888,3322.4275,8.461914176940917,1.6020791552914304
niveau,0.548,200,1,6,0.2756486782761661,0.1435359047388842,0.039683514311909675,0.1435359047388842,0.05279734902083874,0.14822307199239732,3440.725703125,8.420709228515625,3.0281933843204754
ucb,1.0648,50,1,6,0.2756513785325711,0.14827854641269644,0.04117079213261604,0.14827854641269644,0.06119150761514902,0.14409354850649833,3444.49228515625,8.43742130279541,1.843208029968664
ucb,0.8047,50,0,6,0.27570372583460234,0.1482113970633241,0.04112075001001358,0.1482113970633241,0.05780677199363708,0.1509816586226225,3390.280927734375,8.433925704956055,1.8730821928195656
niveau,0.4307,200,0,6,0.2757114826665514,0.14353240479095583,0.03983214698731899,0.14353240479095583,0.04862979959696531,0.14970500349998475,3301.036162109375,8.421900177001953,3.044769468898885
niveau,0.4307,50,1,6,0.27575132431121935,0.1483650898218939,0.04132778935134411,0.1483650898218939,0.05086418010294438,0.16999648869037629,3398.061748046875,8.43624153137207,1.8465586223313586
ucb,0.6082,25,0,6,0.27582824638511566,0.14871656892643823,0.040675237700343134,0.14871656892643823,0.058131805444136264,0.1579763686656952,3312.614990234375,8.44476390838623,1.7779193646693598
niveau,0.724,200,0,6,0.27596222446945295,0.14387443863258498,0.03954100348055363,0.14387443863258498,0.057628966420888904,0.13364310041069985,3506.922197265625,8.421315879821778,3.021946459216997
ucb,1.4088,100,0,7,0.2759720704330003,0.12551909589324728,0.03465708412230015,0.12551909589324728,0.05494656838476658,0.1281598350405693,3606.059443359375,9.834694862365723,2.6132436349382626
niveau,0.3133,200,0,6,0.2761364921391484,0.14392416783678433,0.04026530712842941,0.14392416783678433,0.06905453894287347,0.1591488914191723,3282.051748046875,8.422480850219726,3.053081075591036
mass,0.71,50,1,6,0.2762177521382813,0.1488519845560734,0.04109008885920048,0.1488519845560734,0.06081580437719822,0.14126377388834954,3368.99501953125,8.436166648864747,1.8414418955519796
niveau,0.8413,0,0,6,0.27622047119873877,0.1494890332148906,0.04101370014250279,0.1494890332148906,0.049405171275138854,0.13287950821220876,3574.879609375,8.438895225524902,1.6828594959620389
niveau,0.3133,0,0,7,0.27629150738014124,0.12855974531271397,0.035268501490354535,0.12855974531271397,0.05496654912829399,0.12762851156294347,3609.08265625,9.868704719543457,1.9329405168568095
mass,0.71,50,0,5,0.2764517863806218,0.17017099651256934,0.04682569608092308,0.17017099651256934,0.06717894788831473,0.17671912550926208,3172.1591015625,7.033305473327637,1.5701974670131067
niveau,0.8413,200,1,6,0.27645861873298777,0.1444015601585609,0.03968092769384384,0.1444015601585609,0.052875964492559435,0.13275582149624823,3552.6433984375,8.409992065429687,3.0142646436067304
mass,0.65,200,0,6,0.2765905844997815,0.1444394212568752,0.04004325173795223,0.1444394212568752,0.0460013747215271,0.15569498613476754,3257.829189453125,8.426357650756836,3.0377908107265825
niveau,0.724,0,1,7,0.2768118181054338,0.12898160585033522,0.035586788728833196,0.12898160585033522,0.05417882613837719,0.11932840764522552,3671.982763671875,9.85145751953125,1.9575530637746366
ucb,0.8047,100,1,6,0.27683485593717844,0.14785869015062525,0.04098406456410885,0.14785869015062525,0.04988717209547758,0.147251595556736,3420.616630859375,8.42987819671631,2.2440414466382936
mass,0.65,50,1,7,0.2770715905866412,0.12848325960801113,0.035587373822927475,0.12848325960801113,0.061461961343884465,0.13644387386739254,3485.5943359375,9.84556613922119,2.147082744657528
niveau,0.724,400,1,6,0.27708787305459653,0.13856488203356315,0.03832049712538719,0.13856488203356315,0.05017348024994135,0.132885335162282,3435.697919921875,8.41652416229248,4.630747755258344
eid,2.4662,25,1,7,0.2772440692560627,0.12893244394651965,0.036566454246640206,0.12893244394651965,0.05536736615002155,0.14659245312213898,3075.526669921875,9.831579475402831,2.077906327385766
eid,10.0,100,0,7,0.27733965496270185,0.1268733227816834,0.03512104660272598,0.1268733227816834,0.05300484497100115,0.16906652897596358,3086.358095703125,9.825027503967284,2.616583045254617
eid,4.3174,25,0,7,0.2773476817193232,0.12914159776664114,0.0365207476913929,0.12914159776664114,0.09519701961427927,0.14964671671390534,3054.511982421875,9.83430763244629,2.051520988170523
