phi_model,param,svgd_iters,seed,shape,n_exec,cov,cov_norm,erg_truth,belief_rmse,info_gain,path_len,n_obs,plan_s,svgd_s
eid,0.15,0,0,organic_30,5,0.02249721810221672,0.13319964956811386,0.08225244283676147,0.16417275369167328,2404.466796875,7.023734092712402,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_0,5,0.0482502318918705,0.15728026982108814,0.0627424567937851,0.1849038451910019,2474.75439453125,7.026765823364258,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_10,5,0.11551906913518906,0.3665362335656042,0.16908931732177734,0.22801364958286285,1860.7578125,7.007879257202148,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,cjk_20,5,0.05223233625292778,0.17558112410100682,0.023193366825580597,0.1764153391122818,2685.58642578125,7.03715705871582,320,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,A,6,0.04117359593510628,0.16514292256208116,0.05537638068199158,0.17594186961650848,2478.83642578125,8.455987930297852,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,greek_upper_0,6,0.02777629904448986,0.11140778690778098,0.017559759318828583,0.14718343317508698,2849.18603515625,8.461255073547363,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,korean_5,6,0.09874161332845688,0.323090813436882,0.12382027506828308,0.19572566449642181,2507.91943359375,8.443655967712402,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,digit_5,6,0.05238044261932373,0.19199041181796742,0.0988086611032486,0.2784891724586487,2392.661376953125,8.447265625,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,a_lc,6,0.04564719647169113,0.21256117237803152,0.08494823426008224,0.23444156348705292,2685.078125,8.460153579711914,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_10,6,0.08231224119663239,0.24477942567766675,0.03226041421294212,0.16382327675819397,2810.765625,8.463305473327637,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_20,6,0.049589142203330994,0.16249041645349552,0.12834538519382477,0.046963177621364594,2648.55908203125,8.449590682983398,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_10,6,0.02313038520514965,0.07304556370658405,0.048081450164318085,0.22383178770542145,2425.74951171875,8.433053970336914,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_20,6,0.022572776302695274,0.09499199032241822,0.00997147150337696,0.31111663579940796,2541.094482421875,8.429269790649414,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_30,6,0.05903401970863342,0.2119248850802582,0.20697930455207825,0.22930271923542023,2953.232421875,8.407228469848633,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_0,6,0.07728170603513718,0.24935748091554608,0.058353912085294724,0.10364547371864319,2435.569091796875,8.440502166748047,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_10,6,0.04085652157664299,0.11932822732674908,0.031107136979699135,0.03470439091324806,3225.224853515625,8.459283828735352,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_20,6,0.04707668721675873,0.13811164507309034,0.0324007011950016,0.0662570521235466,2993.191162109375,8.457900047302246,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_gmm_complex_30,6,0.11652705073356628,0.35333910966112514,0.26879027485847473,0.16793590784072876,1754.38232421875,8.43122673034668,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_0,6,0.030605733394622803,0.13328769957307254,0.039127547293901443,0.4403766989707947,2791.17431640625,8.438077926635742,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_10,6,0.044493839144706726,0.15628759088678876,0.058017391711473465,0.3486577570438385,2913.2431640625,8.433795928955078,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_20,6,0.04637078940868378,0.20358773139452405,0.028741877526044846,0.2138618677854538,2674.16845703125,8.441732406616211,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,rand_ana_poly_complex_30,6,0.026956651359796524,0.12063865864858686,0.03181525319814682,0.24590754508972168,3234.2958984375,8.396716117858887,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_0,6,0.11383898556232452,0.3570105734802199,0.12119501084089279,0.40514275431632996,2169.699462890625,8.423377990722656,384,3.31896382833831,0.0006930097751319408
eid,0.15,0,0,organic_10,6,0.045808468014001846,0.16346788979605292,0.1271781623363495,0.29286712408065796,2596.048828125,8.40640640258789,384,3.31896382833831,0.0006930097751319408
