seed,shape,runde,n_max,kandidat,modell,param,svgd,runde,rest,mu_masse,mu_max,mu_konzentration,mu_traeger,sd_mittel,sd_q10,sd_q90,besucht_anteil,besucht_mittel,glaube_cov,pos_x,pos_y,pos_zu_schwerpunkt,weg_laenge,n_obs,score_roh,score_norm,ist_bester
0,korean_5,0,10,25,mass,0.05,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,26,mass,0.05,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,27,mass,0.35,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,28,mass,0.35,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,29,mass,0.35,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,30,mass,0.65,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,31,mass,0.65,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,32,mass,0.65,100,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,33,mass,0.95,0,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
0,korean_5,0,10,34,mass,0.95,25,0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
