shape,n_prior,modell,treffer,korr,sigma_anteil,traeger
rand_gmm_complex_0,12,mi,0.502271294593811,-0.18023599684238434,0.9701855182647705,0.51171875
rand_gmm_complex_0,12,stretch,0.4948137402534485,-0.2729761302471161,0.9701855182647705,0.51171875
rand_gmm_complex_0,12,ucb,0.4964563846588135,-0.2729761600494385,0.9701855182647705,0.51171875
rand_gmm_complex_0,30,ei,0.5364881753921509,-0.007945595309138298,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,eid,0.6298767924308777,0.40770941972732544,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,lse,0.5896264314651489,0.757975697517395,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,mass,0.646871030330658,0.8183056116104126,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,mi,0.519334614276886,-0.08309930562973022,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,stretch,0.4996867775917053,-0.22850705683231354,0.9325781464576721,0.51171875
rand_gmm_complex_0,30,ucb,0.5006521940231323,-0.22850705683231354,0.9325781464576721,0.51171875
rand_gmm_complex_0,60,ei,0.4573269486427307,-0.08503925055265427,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,eid,0.5897223949432373,0.29388532042503357,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,lse,0.6338862776756287,0.8047006130218506,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,mass,0.6226873993873596,0.747944712638855,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,mi,0.5041645169258118,0.012783934362232685,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,stretch,0.462700754404068,-0.22273218631744385,0.8891588449478149,0.51171875
rand_gmm_complex_0,60,ucb,0.4678099751472473,-0.22273218631744385,0.8891588449478149,0.51171875
rand_gmm_complex_10,12,ei,0.5726418495178223,0.3591742515563965,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,eid,0.6438356637954712,0.40764981508255005,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,lse,0.5625643134117126,0.7207887768745422,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,mass,0.6805155277252197,0.8086125254631042,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,mi,0.5460561513900757,0.175535187125206,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,stretch,0.5329142212867737,0.02453494817018509,0.9666838645935059,0.52001953125
rand_gmm_complex_10,12,ucb,0.5316289663314819,0.02453495003283024,0.9666838645935059,0.52001953125
rand_gmm_complex_10,30,ei,0.5405439138412476,0.20219114422798157,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,eid,0.6770830154418945,0.4785473346710205,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,lse,0.5970028638839722,0.7487565875053406,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,mass,0.6766046285629272,0.8956128358840942,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,mi,0.5259767770767212,0.09569060057401657,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,stretch,0.5088134407997131,-0.05056757852435112,0.9407744407653809,0.52001953125
rand_gmm_complex_10,30,ucb,0.5096758604049683,-0.05056758224964142,0.9407744407653809,0.52001953125
rand_gmm_complex_10,60,ei,0.5109871625900269,0.19012592732906342,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,eid,0.6235166788101196,0.49351784586906433,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,lse,0.6371573209762573,0.7978077530860901,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,mass,0.6550787091255188,0.8732143044471741,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,mi,0.5324620604515076,0.20854125916957855,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,stretch,0.49593251943588257,-0.0017968746833503246,0.9067597985267639,0.52001953125
rand_gmm_complex_10,60,ucb,0.4980165958404541,-0.0017968796892091632,0.9067597985267639,0.52001953125
